,cpu,ram,gpu,gpu_mem
0,0.0,109285376,0,99
1,38.6,118890496,0,156
2,84.6,214794240,2,382
3,84.3,301838336,2,396
4,101.2,317423616,2,412
5,104.2,325898240,30,412
6,99.6,325898240,30,412
7,106.9,325898240,30,412
8,101.6,325898240,55,412
9,89.2,325898240,55,412
10,113.8,325898240,15,412
11,87.2,325898240,15,412
12,100.3,325898240,15,412
13,101.0,325898240,15,412
14,104.5,325898240,15,412
15,99.2,325898240,15,412
16,105.1,325898240,15,412
17,95.4,325898240,15,412
18,104.7,325898240,15,412
19,98.2,325898240,15,412
20,102.5,325898240,15,412
21,97.7,325898240,15,412
22,100.7,325898240,15,412
23,100.4,325898240,15,412
24,100.1,325898240,15,412
25,101.2,325898240,15,412
26,88.1,325898240,15,412
27,111.5,325898240,15,412
28,90.1,325898240,15,412
29,100.5,325898240,15,412
30,100.6,325898240,15,412
31,99.3,325898240,15,412
32,101.5,325898240,15,412
33,102.5,325898240,15,412
34,96.5,325898240,15,412
35,101.5,325898240,15,412
36,106.1,325898240,18,412
37,88.1,325898240,18,412
38,110.1,325898240,18,412
39,103.4,325898240,17,412
40,97.9,325898240,17,412
41,96.8,325898240,17,412
42,101.8,325898240,17,412
43,101.7,325898240,17,412
44,99.4,325898240,17,412
45,100.9,325898240,17,412
46,101.6,325898240,17,412
47,89.7,325898240,17,412
48,99.6,325898240,17,412
49,99.9,325898240,17,412
50,103.1,325898240,17,412
51,100.9,325898240,17,412
52,102.2,325898240,17,412
53,101.8,325898240,17,412
54,101.0,325898240,17,412
55,99.8,325898240,17,412
56,88.0,325898240,17,412
57,108.8,325898240,17,412
58,100.9,325898240,17,412
59,101.9,325898240,17,412
60,88.5,325898240,17,412
61,106.1,325898240,17,412
62,100.8,325898240,17,412
63,106.0,325898240,17,412
64,99.5,325898240,17,412
65,99.5,325898240,18,412
66,99.9,325898240,18,412
67,101.7,325898240,18,412
68,91.8,325898240,17,412
69,103.9,325898240,17,412
70,105.3,325898240,17,412
71,99.3,325898240,17,412
72,102.5,325898240,17,412
73,98.4,325898240,17,412
74,88.0,325898240,17,412
75,114.7,325898240,17,412
76,87.4,325898240,17,412
77,107.3,325898240,17,412
78,101.3,325898240,17,412
79,100.6,325898240,17,412
80,91.8,325898240,17,412
81,101.7,325898240,17,412
82,101.0,325898240,17,412
83,103.2,325898240,17,412
84,101.2,325898240,17,412
85,92.2,325898240,18,412
86,95.1,325898240,18,412
87,101.5,325898240,18,412
88,99.5,325898240,18,412
89,102.0,325898240,18,412
90,98.6,325898240,18,412
91,102.1,325898240,17,412
92,105.0,325898240,17,412
93,100.3,325898240,17,412
94,102.7,325898240,17,412
95,86.6,325898240,17,412
96,115.5,325898240,17,412
97,86.5,325898240,18,412
98,106.9,325898240,18,412
99,101.6,325898240,18,412
100,102.1,325898240,18,412
101,87.5,325898240,18,412
102,105.8,325898240,18,412
103,102.0,325898240,18,412
104,104.1,325898240,18,412
105,104.6,325898240,18,412
106,84.4,325898240,17,412
107,106.0,325898240,17,412
108,99.2,325898240,17,412
109,102.6,325898240,17,412
110,98.2,325898240,17,412
111,101.7,325898240,17,412
112,98.5,325898240,17,412
113,104.7,325898240,17,412
114,102.2,325898240,18,412
115,99.6,325898240,18,412
116,101.3,325898240,18,412
117,99.9,325898240,17,412
118,100.8,325898240,17,412
119,86.7,325898240,17,412
120,105.4,325898240,17,412
121,99.2,325898240,17,412
122,106.5,325898240,17,412
123,103.3,325898240,17,412
124,87.4,325898240,17,412
125,103.4,325898240,17,412
126,101.6,325898240,17,412
127,103.2,325898240,17,412
128,95.2,325898240,17,412
129,100.4,325898240,17,412
130,100.1,325898240,17,412
131,102.6,325898240,17,412
132,101.2,325898240,17,412
133,101.2,325898240,17,412
134,101.7,325898240,17,412
135,87.7,325898240,17,412
136,105.8,325898240,17,412
137,102.1,325898240,17,412
138,101.7,325898240,17,412
139,101.2,325898240,17,412
140,91.2,325898240,17,412
141,102.2,325898240,17,412
142,99.6,325898240,17,412
143,99.8,325898240,17,412
144,96.3,325898240,17,412
145,115.4,325898240,17,412
146,86.4,325898240,17,412
147,104.3,325898240,17,412
148,99.9,325898240,17,412
149,102.6,325898240,17,412
150,101.2,325898240,17,412
151,100.0,325898240,17,412
152,101.6,325898240,17,412
153,97.0,325898240,17,412
154,95.9,325898240,17,412
155,100.2,325898240,17,412
156,103.5,325898240,17,412
157,102.0,325898240,17,412
158,100.5,325898240,17,412
159,106.6,325898240,17,412
160,85.9,325898240,17,412
161,103.3,325898240,17,412
162,104.2,325898240,17,412
163,101.3,325898240,17,412
164,103.3,325898240,17,412
165,87.4,325898240,17,412
166,106.5,325898240,17,412
167,99.9,325898240,17,412
168,100.5,325898240,17,412
169,99.5,325898240,17,412
170,103.3,325898240,17,412
171,99.9,325898240,17,412
172,99.8,325898240,17,412
173,101.8,325898240,17,412
174,86.9,325898240,17,412
175,113.7,325898240,17,412
176,88.1,325898240,17,412
177,102.6,325898240,17,412
178,99.4,325898240,17,412
179,99.5,325898240,17,412
180,98.3,325898240,17,412
181,100.9,325898240,18,412
182,100.8,325898240,18,412
183,100.8,325898240,18,412
184,101.6,325898240,18,412
185,99.8,325898240,18,412
186,98.5,325898240,17,412
187,102.7,325898240,17,412
188,99.1,325898240,17,412
189,106.2,325898240,17,412
190,85.6,325898240,17,412
191,103.1,325898240,17,412
192,103.0,325898240,17,412
193,100.1,325898240,17,412
194,106.0,325898240,17,412
195,101.8,325898240,18,412
196,101.6,325898240,18,412
197,88.2,325898240,18,412
198,101.3,325898240,17,412
199,102.2,325898240,17,412
200,101.4,325898240,17,412
201,100.7,325898240,18,412
202,98.9,325898240,18,412
203,101.0,325898240,18,412
204,102.1,325898240,17,412
205,91.4,325898240,17,412
206,107.4,325898240,17,412
207,98.5,325898240,18,412
208,103.4,325898240,18,412
209,98.0,325898240,18,412
210,103.2,325898240,17,412
211,100.8,325898240,17,412
212,101.1,325898240,17,412
213,87.2,325898240,17,412
214,112.5,325898240,17,412
215,88.3,325898240,17,412
216,112.1,325898240,17,412
217,87.2,325898240,17,412
218,102.9,325898240,17,412
219,105.2,325898240,17,412
220,99.7,325898240,17,412
221,104.7,325898240,17,412
222,91.3,325898240,17,412
223,103.5,325898240,17,412
224,91.9,325898240,17,412
225,102.5,325898240,17,412
226,101.9,325898240,17,412
227,103.8,325898240,17,412
228,97.5,325898240,17,412
229,100.2,325898240,17,412
230,99.7,325898240,17,412
231,102.4,325898240,17,412
232,99.7,325898240,17,412
233,103.3,325898240,17,412
234,89.0,325898240,17,412
235,104.1,325898240,17,412
236,102.3,325898240,17,412
237,100.2,325898240,17,412
238,101.1,325898240,17,412
239,99.2,325898240,17,412
240,101.6,325898240,17,412
241,99.5,325898240,17,412
242,105.5,325898240,17,412
243,85.8,325898240,17,412
244,102.0,325898240,17,412
245,103.0,325898240,17,412
246,102.8,325898240,17,412
247,105.2,325898240,17,412
248,102.5,325898240,17,412
249,88.2,325898240,17,412
250,99.7,325898240,17,412
251,102.0,325898240,17,412
252,102.5,325898240,17,412
253,103.7,325898240,17,412
254,98.9,325898240,17,412
255,103.2,325898240,17,412
256,91.8,325898240,17,412
257,102.3,325898240,17,412
258,92.5,325898240,17,412
259,106.3,325898240,17,412
260,92.1,325898240,17,412
261,105.0,325898240,17,412
262,104.6,325898240,17,412
263,94.7,325898240,17,412
264,105.2,325898240,17,412
265,89.8,325898240,18,412
266,114.7,325898240,18,412
267,89.6,325898240,18,412
268,103.2,325898240,17,412
269,102.0,325898240,17,412
270,103.6,325898240,17,412
271,103.4,325898240,17,412
272,89.3,325898240,17,412
273,102.4,325898240,17,412
274,102.7,325898240,17,412
275,96.3,325898240,17,412
276,101.8,325898240,17,412
277,104.9,325898240,17,412
278,97.4,325898240,17,412
279,104.8,325898240,17,412
280,84.9,325898240,18,412
281,102.8,325898240,18,412
282,104.3,325898240,18,412
283,103.0,325898240,17,412
284,105.4,325898240,17,412
285,86.5,325898240,17,412
286,102.3,325898240,18,412
287,103.3,325898240,18,412
288,101.8,325898240,18,412
289,106.2,325898240,18,412
290,86.3,325898240,18,412
291,104.1,325898240,18,412
292,106.8,325898240,18,412
293,100.6,325898240,18,412
294,89.4,325898240,18,412
295,101.7,325898240,17,412
296,105.1,325898240,17,412
297,104.1,325898240,17,412
298,87.9,325898240,17,412
299,108.2,325898240,17,412
300,104.8,325898240,17,412
301,86.8,325898240,18,412
302,103.7,325898240,18,412
303,101.0,325898240,17,412
304,101.2,325898240,17,412
305,103.9,325898240,17,412
306,101.7,325898240,18,412
307,104.0,325898240,18,412
308,85.0,325898240,18,412
309,105.0,325898240,17,412
310,106.1,325898240,17,412
311,100.4,325898240,17,412
312,88.9,325898240,17,412
313,101.8,325898240,17,412
314,103.2,325898240,17,412
315,102.5,325898240,17,412
316,101.2,325898240,17,412
317,95.9,325898240,17,412
318,101.0,325898240,17,412
319,104.2,325898240,17,412
320,101.3,325898240,17,412
321,89.2,325898240,17,412
322,106.2,325898240,17,412
323,100.0,325898240,17,412
324,101.0,325898240,17,412
325,101.1,325898240,17,412
326,102.3,325898240,17,412
327,100.1,325898240,17,412
328,86.4,325898240,17,412
329,113.6,325898240,17,412
330,90.7,325898240,17,412
331,93.4,325898240,17,412
332,99.3,325898240,17,412
333,103.0,325898240,17,412
334,99.8,325898240,17,412
335,103.8,325898240,17,412
336,101.0,325898240,17,412
337,102.7,325898240,17,412
338,86.2,325898240,17,412
339,109.6,325898240,17,412
340,99.1,325898240,17,412
341,104.5,325898240,17,412
342,91.7,325898240,17,412
343,101.4,325898240,17,412
344,104.4,325898240,17,412
345,89.0,325898240,17,412
346,114.1,325898240,17,412
347,87.5,325898240,18,412
348,104.0,325898240,18,412
349,106.6,325898240,18,412
350,92.6,325898240,18,412
351,98.1,325898240,18,412
352,103.9,325898240,18,412
353,102.6,325898240,18,412
354,105.3,325898240,18,412
355,91.5,325898240,18,412
356,103.1,325898240,18,412
357,106.1,325898240,18,412
358,96.3,325898240,18,412
359,91.1,325898240,17,412
360,101.9,325898240,17,412
361,110.8,325898240,17,412
362,92.1,325898240,18,412
363,91.7,325898240,18,412
364,106.7,325898240,18,412
365,107.6,325898240,17,412
366,91.9,325898240,17,412
367,102.0,325898240,17,412
368,105.2,325898240,18,412
369,100.7,325898240,18,412
370,91.5,325898240,18,412
371,102.2,325898240,17,412
372,105.2,325898240,17,412
373,91.0,325898240,17,412
374,102.2,325898240,18,412
375,105.2,325898240,18,412
376,92.9,325898240,18,412
377,102.9,325898240,17,412
378,106.2,325898240,17,412
379,93.9,325898240,17,412
380,92.5,325898240,18,412
381,105.2,325898240,18,412
382,104.0,325898240,18,412
383,103.2,325898240,18,412
384,92.3,325898240,18,412
385,104.9,325898240,18,412
386,102.3,325898240,18,412
387,92.3,325898240,18,412
388,105.9,325898240,18,412
389,93.4,325898240,17,412
390,104.5,325898240,17,412
391,96.8,325898240,17,412
392,110.8,325898240,17,412
393,88.6,325898240,17,412
394,103.3,325898240,17,412
395,93.6,325898240,17,412
396,100.5,325898240,17,412
397,107.2,325898240,17,412
398,91.9,325898240,17,412
399,102.5,325898240,18,412
400,102.3,325898240,18,412
401,104.7,325898240,18,412
402,92.7,325898240,18,412
403,102.8,325898240,18,412
404,106.7,325898240,17,412
405,90.8,325898240,17,412
406,102.4,325898240,17,412
407,107.0,325898240,18,412
408,91.2,325898240,18,412
409,105.8,325898240,18,412
410,90.7,325898240,18,412
411,109.0,325898240,18,412
412,112.0,325898240,18,412
413,88.5,325898240,17,412
414,107.0,325898240,17,412
415,94.3,325898240,17,412
416,106.1,325898240,17,412
417,107.9,325898240,17,412
418,85.5,325898240,17,412
419,106.1,325898240,17,412
420,106.1,325898240,17,412
421,91.2,325898240,17,412
422,105.9,325898240,17,412
423,92.1,325898240,17,412
424,109.5,325898240,17,412
425,95.4,325898240,17,412
426,102.2,325898240,17,412
427,93.8,325898240,17,412
428,111.8,325898240,17,412
429,97.2,325898240,17,412
430,102.7,325898240,17,412
431,86.1,325898240,17,412
432,116.6,325898240,17,412
433,84.4,325898240,17,412
434,103.3,325898240,17,412
435,107.1,325898240,17,412
436,90.0,325898240,17,412
437,110.6,325898240,17,412
438,101.9,325898240,17,412
439,86.3,325898240,17,412
440,101.1,325898240,17,412
441,98.1,325898240,17,412
442,113.1,325898240,17,412
443,88.6,325898240,17,412
444,99.7,325898240,17,412
445,101.2,325898240,17,412
446,111.3,325898240,18,412
447,87.5,325898240,18,412
448,112.6,325898240,18,412
449,86.1,325898240,18,412
450,100.0,325898240,18,412
451,100.8,325898240,18,412
452,99.7,325898240,18,412
453,103.3,325898240,18,412
454,102.1,325898240,18,412
455,102.5,325898240,18,412
456,90.5,325898240,18,412
457,102.5,325898240,18,412
458,104.1,325898240,18,412
459,100.3,325898240,18,412
460,103.6,325898240,18,412
461,102.6,325898240,18,412
462,89.2,325898240,18,412
463,100.6,325898240,18,412
464,105.3,325898240,18,412
465,90.2,325898240,18,412
466,101.5,325898240,17,412
467,103.4,325898240,17,412
468,99.0,325898240,17,412
469,104.8,325898240,17,412
470,102.2,325898240,17,412
471,91.0,325898240,17,412
472,103.5,325898240,17,412
473,102.7,325898240,17,412
474,102.4,325898240,17,412
475,100.7,325898240,17,412
476,103.2,325898240,17,412
477,88.8,325898240,17,412
478,98.2,325898240,17,412
479,101.7,325898240,17,412
480,99.9,325898240,17,412
481,99.4,325898240,17,412
482,102.7,325898240,17,412
483,103.8,325898240,17,412
484,91.8,325898240,17,412
485,108.1,325898240,17,412
486,106.3,325898240,18,412
487,90.7,325898240,18,412
488,95.2,325898240,18,412
489,107.9,325898240,18,412
490,104.8,325898240,18,412
491,91.4,325898240,18,412
492,102.3,325898240,17,412
493,103.7,325898240,17,412
494,90.0,325898240,17,412
495,102.2,325898240,17,412
496,106.3,325898240,17,412
497,89.4,325898240,17,412
498,108.7,325898240,17,412
499,106.5,325898240,17,412
500,92.9,325898240,17,412
501,104.9,325898240,17,412
502,101.9,325898240,17,412
503,91.9,325898240,17,412
504,106.8,325898240,18,412
505,101.4,325898240,18,412
506,93.3,325898240,18,412
507,104.1,325898240,17,412
508,102.2,325898240,17,412
509,93.0,325898240,17,412
510,91.1,325898240,17,412
511,104.0,325898240,18,412
512,107.9,325898240,18,412
513,91.6,325898240,18,412
514,100.8,325898240,18,412
515,103.1,325898240,18,412
516,104.0,325898240,18,412
517,104.1,325898240,18,412
518,90.4,325898240,18,412
519,100.5,325898240,18,412
520,104.3,325898240,18,412
521,94.4,325898240,18,412
522,105.1,325898240,18,412
523,94.7,325898240,18,412
524,107.8,325898240,18,412
525,90.3,325898240,17,412
526,106.3,325898240,17,412
527,97.1,325898240,17,412
528,92.1,325898240,17,412
529,115.8,325898240,16,412
530,96.5,325898240,16,412
531,91.8,325898240,16,412
532,96.8,325898240,16,412
533,104.1,325898240,16,412
534,109.3,325898240,16,412
535,91.7,325898240,16,412
536,97.2,325898240,16,412
537,104.7,325898240,16,412
538,107.1,325898240,16,412
539,90.0,325898240,16,412
540,105.5,325898240,16,412
541,105.4,325898240,16,412
542,93.9,325898240,16,412
543,88.6,325898240,16,412
544,107.8,325898240,17,412
545,108.9,325898240,17,412
546,91.0,325898240,17,412
547,92.9,325898240,18,412
548,106.0,325898240,18,412
549,105.8,325898240,18,412
550,91.3,325898240,18,412
551,103.7,325898240,18,412
552,105.8,325898240,18,412
553,103.4,325898240,18,412
554,91.7,325898240,18,412
555,105.2,325898240,18,412
556,90.2,325898240,18,412
557,107.6,325898240,18,412
558,93.5,325898240,18,412
559,102.8,325898240,18,412
560,109.5,325898240,18,412
561,90.1,325898240,18,412
562,103.7,325898240,17,412
563,95.2,325898240,17,412
564,105.7,325898240,17,412
